date,sst_celsius
2023-01-01,3.99
2023-01-02,3.4
2023-01-03,3.53
2023-01-04,3.59
2023-01-05,2.71
2023-01-06,2.32
2023-01-07,2.52
2023-01-08,3.23
2023-01-09,3.57
2023-01-10,3.1
2023-01-11,2.34
2023-01-12,3.71
2023-01-13,2.2
2023-01-14,2.76
2023-01-15,2.72
2023-01-16,3.13
2023-01-17,3.55
2023-01-18,2.26
2023-01-19,2.86
2023-01-20,3.19
2023-01-21,2.46
2023-01-22,3.02
2023-01-23,3.17
2023-01-24,2.43
2023-01-25,2.47
2023-01-26,3.12
2023-01-27,3.07
2023-01-28,3.32
2023-01-29,4.35
2023-01-30,3.73
2023-01-31,3.54
2023-02-01,3.01
2023-02-02,3.87
2023-02-03,3.06
2023-02-04,4.28
2023-02-05,4.14
2023-02-06,2.6
2023-02-07,3.07
2023-02-08,3.62
2023-02-09,3.57
2023-02-10,3.21
2023-02-11,3.29
2023-02-12,4.33
2023-02-13,3.77
2023-02-14,3.34
2023-02-15,4.04
2023-02-16,4.74
2023-02-17,5.18
2023-02-18,4.45
2023-02-19,4.34
2023-02-20,4.18
2023-02-21,4.41
2023-02-22,5.02
2023-02-23,5.47
2023-02-24,5.56
2023-02-25,4.91
2023-02-26,5.57
2023-02-27,5.61
2023-02-28,5.55
2023-03-01,4.2
2023-03-02,5.5
2023-03-03,5.49
2023-03-04,6.4
2023-03-05,5.71
2023-03-06,6.18
2023-03-07,6.2
2023-03-08,6.82
2023-03-09,6.68
2023-03-10,6.93
2023-03-11,7.28
2023-03-12,7.13
2023-03-13,7.17
2023-03-14,6.77
2023-03-15,7.07
2023-03-16,8.23
2023-03-17,7.29
2023-03-18,7.65
2023-03-19,7.49
2023-03-20,7.51
2023-03-21,6.29
2023-03-22,8.78
2023-03-23,7.46
2023-03-24,7.77
2023-03-25,9.0
2023-03-26,7.28
2023-03-27,8.61
2023-03-28,8.45
2023-03-29,7.95
2023-03-30,9.32
2023-03-31,8.77
2023-04-01,9.24
2023-04-02,9.22
2023-04-03,9.9
2023-04-04,10.85
2023-04-05,9.24
2023-04-06,10.44
2023-04-07,9.81
2023-04-08,10.12
2023-04-09,9.5
2023-04-10,10.02
2023-04-11,10.52
2023-04-12,11.29
2023-04-13,11.15
2023-04-14,11.46
2023-04-15,11.68
2023-04-16,10.77
2023-04-17,12.34
2023-04-18,11.59
2023-04-19,12.24
2023-04-20,11.96
2023-04-21,12.33
2023-04-22,12.66
2023-04-23,11.36
2023-04-24,13.64
2023-04-25,12.86
2023-04-26,13.47
2023-04-27,13.17
2023-04-28,13.25
2023-04-29,12.69
2023-04-30,13.3
2023-05-01,12.53
2023-05-02,13.7
2023-05-03,14.71
2023-05-04,13.12
2023-05-05,13.85
2023-05-06,14.15
2023-05-07,15.05
2023-05-08,15.23
2023-05-09,14.78
2023-05-10,14.92
2023-05-11,14.93
2023-05-12,14.9
2023-05-13,15.04
2023-05-14,15.17
2023-05-15,15.46
2023-05-16,15.7
2023-05-17,15.47
2023-05-18,16.23
2023-05-19,16.02
2023-05-20,16.43
2023-05-21,15.6
2023-05-22,16.06
2023-05-23,16.57
2023-05-24,16.79
2023-05-25,16.67
2023-05-26,17.64
2023-05-27,16.88
2023-05-28,17.81
2023-05-29,17.9
2023-05-30,17.66
2023-05-31,17.64
2023-06-01,17.8
2023-06-02,17.55
2023-06-03,17.16
2023-06-04,17.56
2023-06-05,17.6
2023-06-06,17.81
2023-06-07,17.74
2023-06-08,17.66
2023-06-09,18.35
2023-06-10,19.09
2023-06-11,18.02
2023-06-12,17.62
2023-06-13,18.34
2023-06-14,18.09
2023-06-15,18.27
2023-06-16,18.21
2023-06-17,18.85
2023-06-18,19.26
2023-06-19,20.19
2023-06-20,18.54
2023-06-21,18.48
2023-06-22,19.17
2023-06-23,19.24
2023-06-24,20.17
2023-06-25,20.07
2023-06-26,19.14
2023-06-27,18.5
2023-06-28,19.86
2023-06-29,19.39
2023-06-30,20.34
2023-07-01,19.64
2023-07-02,19.66
2023-07-03,19.17
2023-07-04,19.78
2023-07-05,20.41
2023-07-06,19.45
2023-07-07,19.99
2023-07-08,19.61
2023-07-09,20.38
2023-07-10,19.92
2023-07-11,20.23
2023-07-12,20.13
2023-07-13,19.54
2023-07-14,19.41
2023-07-15,20.65
2023-07-16,19.83
2023-07-17,19.48
2023-07-18,19.67
2023-07-19,20.82
2023-07-20,20.03
2023-07-21,20.53
2023-07-22,18.82
2023-07-23,21.1
2023-07-24,19.97
2023-07-25,20.58
2023-07-26,19.73
2023-07-27,19.83
2023-07-28,20.27
2023-07-29,20.75
2023-07-30,19.85
2023-07-31,19.4
2023-08-01,23.21
2023-08-02,23.72
2023-08-03,21.94
2023-08-04,22.15
2023-08-05,22.85
2023-08-06,22.26
2023-08-07,21.32
2023-08-08,22.37
2023-08-09,22.46
2023-08-10,22.61
2023-08-11,22.9
2023-08-12,21.48
2023-08-13,18.8
2023-08-14,18.97
2023-08-15,19.14
2023-08-16,18.48
2023-08-17,18.8
2023-08-18,18.32
2023-08-19,19.06
2023-08-20,19.18
2023-08-21,18.08
2023-08-22,18.68
2023-08-23,17.78
2023-08-24,18.41
2023-08-25,17.4
2023-08-26,18.15
2023-08-27,18.51
2023-08-28,18.29
2023-08-29,16.81
2023-08-30,17.7
2023-08-31,17.35
2023-09-01,18.14
2023-09-02,17.53
2023-09-03,17.95
2023-09-04,16.83
2023-09-05,16.42
2023-09-06,15.66
2023-09-07,16.92
2023-09-08,16.51
2023-09-09,16.69
2023-09-10,16.33
2023-09-11,16.42
2023-09-12,16.9
2023-09-13,15.44
2023-09-14,16.2
2023-09-15,16.44
2023-09-16,15.94
2023-09-17,16.48
2023-09-18,15.26
2023-09-19,15.37
2023-09-20,15.01
2023-09-21,14.86
2023-09-22,15.78
2023-09-23,14.04
2023-09-24,14.33
2023-09-25,14.23
2023-09-26,14.36
2023-09-27,14.06
2023-09-28,14.38
2023-09-29,14.19
2023-09-30,14.69
2023-10-01,14.08
2023-10-02,13.05
2023-10-03,12.56
2023-10-04,13.01
2023-10-05,12.77
2023-10-06,12.8
2023-10-07,13.45
2023-10-08,12.81
2023-10-09,11.81
2023-10-10,11.95
2023-10-11,13.0
2023-10-12,11.45
2023-10-13,12.28
2023-10-14,12.19
2023-10-15,11.01
2023-10-16,10.82
2023-10-17,11.49
2023-10-18,11.32
2023-10-19,11.54
2023-10-20,11.17
2023-10-21,10.23
2023-10-22,11.5
2023-10-23,10.54
2023-10-24,10.37
