date,sst_celsius
2023-01-01,2.21
2023-01-02,2.82
2023-01-03,2.61
2023-01-04,2.4
2023-01-05,2.21
2023-01-06,2.15
2023-01-07,2.04
2023-01-08,2.32
2023-01-09,1.74
2023-01-10,2.8
2023-01-11,2.71
2023-01-12,2.17
2023-01-13,2.59
2023-01-14,2.67
2023-01-15,1.97
2023-01-16,1.66
2023-01-17,2.47
2023-01-18,1.36
2023-01-19,2.48
2023-01-20,2.27
2023-01-21,1.71
2023-01-22,0.99
2023-01-23,2.27
2023-01-24,2.46
2023-01-25,2.35
2023-01-26,0.91
2023-01-27,2.39
2023-01-28,2.37
2023-01-29,2.29
2023-01-30,1.89
2023-01-31,1.6
2023-02-01,3.09
2023-02-02,2.46
2023-02-03,1.8
2023-02-04,3.13
2023-02-05,2.05
2023-02-06,2.97
2023-02-07,2.11
2023-02-08,2.69
2023-02-09,2.81
2023-02-10,3.91
2023-02-11,2.47
2023-02-12,2.72
2023-02-13,3.78
2023-02-14,3.89
2023-02-15,3.45
2023-02-16,3.18
2023-02-17,3.28
2023-02-18,2.85
2023-02-19,4.25
2023-02-20,4.2
2023-02-21,4.39
2023-02-22,4.49
2023-02-23,4.42
2023-02-24,4.79
2023-02-25,3.93
2023-02-26,5.47
2023-02-27,4.8
2023-02-28,4.4
2023-03-01,4.34
2023-03-02,4.87
2023-03-03,5.51
2023-03-04,5.51
2023-03-05,5.99
2023-03-06,6.63
2023-03-07,5.98
2023-03-08,6.3
2023-03-09,6.3
2023-03-10,5.6
2023-03-11,5.94
2023-03-12,6.2
2023-03-13,6.97
2023-03-14,5.95
2023-03-15,7.9
2023-03-16,6.51
2023-03-17,6.55
2023-03-18,6.87
2023-03-19,6.83
2023-03-20,7.54
2023-03-21,7.72
2023-03-22,8.74
2023-03-23,7.77
2023-03-24,8.67
2023-03-25,8.65
2023-03-26,8.65
2023-03-27,7.55
2023-03-28,8.99
2023-03-29,9.02
2023-03-30,8.54
2023-03-31,9.66
2023-04-01,10.07
2023-04-02,9.95
2023-04-03,9.75
2023-04-04,9.36
2023-04-05,10.36
2023-04-06,9.84
2023-04-07,10.66
2023-04-08,10.16
2023-04-09,10.36
2023-04-10,11.21
2023-04-11,10.84
2023-04-12,10.27
2023-04-13,12.04
2023-04-14,11.91
2023-04-15,12.18
2023-04-16,11.3
2023-04-17,12.18
2023-04-18,12.77
2023-04-19,12.74
2023-04-20,12.42
2023-04-21,13.29
2023-04-22,12.85
2023-04-23,12.38
2023-04-24,13.23
2023-04-25,13.22
2023-04-26,13.06
2023-04-27,14.32
2023-04-28,13.48
2023-04-29,14.81
2023-04-30,13.98
2023-05-01,14.37
2023-05-02,14.59
2023-05-03,15.15
2023-05-04,14.81
2023-05-05,15.2
2023-05-06,15.49
2023-05-07,15.15
2023-05-08,15.33
2023-05-09,15.29
2023-05-10,15.23
2023-05-11,16.97
2023-05-12,15.97
2023-05-13,16.7
2023-05-14,16.18
2023-05-15,17.56
2023-05-16,17.18
2023-05-17,17.61
2023-05-18,17.18
2023-05-19,17.86
2023-05-20,17.11
2023-05-21,16.92
2023-05-22,18.4
2023-05-23,18.35
2023-05-24,18.23
2023-05-25,18.12
2023-05-26,18.13
2023-05-27,17.99
2023-05-28,18.42
2023-05-29,18.81
2023-05-30,19.34
2023-05-31,18.93
2023-06-01,18.34
2023-06-02,18.48
2023-06-03,18.85
2023-06-04,18.89
2023-06-05,19.91
2023-06-06,20.26
2023-06-07,20.21
2023-06-08,19.53
2023-06-09,19.38
2023-06-10,20.52
2023-06-11,18.81
2023-06-12,20.06
2023-06-13,19.05
2023-06-14,20.25
2023-06-15,20.23
2023-06-16,21.15
2023-06-17,20.18
2023-06-18,20.62
2023-06-19,20.7
2023-06-20,20.56
2023-06-21,20.87
2023-06-22,20.12
2023-06-23,20.67
2023-06-24,21.19
2023-06-25,21.39
2023-06-26,21.83
2023-06-27,21.87
2023-06-28,21.58
2023-06-29,21.42
2023-06-30,21.21
2023-07-01,21.89
2023-07-02,21.03
2023-07-03,21.98
2023-07-04,21.37
2023-07-05,21.8
2023-07-06,22.46
2023-07-07,21.2
2023-07-08,22.1
2023-07-09,21.76
2023-07-10,21.58
2023-07-11,21.88
2023-07-12,22.91
2023-07-13,22.63
2023-07-14,21.69
2023-07-15,21.53
2023-07-16,22.1
2023-07-17,21.03
2023-07-18,21.76
2023-07-19,22.04
2023-07-20,22.47
2023-07-21,21.63
2023-07-22,21.67
2023-07-23,22.1
2023-07-24,20.92
2023-07-25,21.77
2023-07-26,22.12
2023-07-27,21.72
2023-07-28,22.93
2023-07-29,22.82
2023-07-30,21.03
2023-07-31,21.59
2023-08-01,24.47
2023-08-02,24.11
2023-08-03,23.75
2023-08-04,25.12
2023-08-05,24.37
2023-08-06,24.31
2023-08-07,25.25
2023-08-08,24.49
2023-08-09,23.5
2023-08-10,23.66
2023-08-11,23.26
2023-08-12,23.98
2023-08-13,20.63
2023-08-14,21.21
2023-08-15,20.51
2023-08-16,21.0
2023-08-17,21.53
2023-08-18,20.15
2023-08-19,20.24
2023-08-20,20.25
2023-08-21,21.0
2023-08-22,19.68
2023-08-23,19.15
2023-08-24,18.9
2023-08-25,19.8
2023-08-26,18.98
2023-08-27,19.19
2023-08-28,20.04
2023-08-29,19.05
2023-08-30,19.35
2023-08-31,19.21
2023-09-01,19.17
2023-09-02,18.64
2023-09-03,18.27
2023-09-04,19.69
2023-09-05,18.37
2023-09-06,18.27
2023-09-07,18.41
2023-09-08,18.53
2023-09-09,17.07
2023-09-10,17.2
2023-09-11,18.25
2023-09-12,17.99
2023-09-13,17.14
2023-09-14,16.55
2023-09-15,17.29
2023-09-16,17.34
2023-09-17,16.11
2023-09-18,16.87
2023-09-19,16.42
2023-09-20,16.5
2023-09-21,16.27
2023-09-22,16.37
2023-09-23,15.66
2023-09-24,15.91
2023-09-25,15.62
2023-09-26,15.95
2023-09-27,15.26
2023-09-28,14.74
2023-09-29,14.54
2023-09-30,14.82
2023-10-01,14.53
2023-10-02,14.34
2023-10-03,14.16
2023-10-04,14.05
2023-10-05,14.38
2023-10-06,12.69
2023-10-07,14.11
2023-10-08,13.87
2023-10-09,12.92
2023-10-10,12.63
2023-10-11,12.51
2023-10-12,12.54
2023-10-13,12.34
2023-10-14,12.66
2023-10-15,12.99
2023-10-16,11.39
2023-10-17,11.94
2023-10-18,11.97
2023-10-19,10.81
2023-10-20,11.54
2023-10-21,11.59
2023-10-22,11.21
2023-10-23,10.39
2023-10-24,10.9
2023-10-25,10.32
2023-10-26,9.99
2023-10-27,10.27
2023-10-28,9.84
2023-10-29,10.08
2023-10-30,9.09
2023-10-31,8.72
2023-11-01,9.43
2023-11-02,8.88
2023-11-03,9.67
2023-11-04,8.73
2023-11-05,8.49
2023-11-06,9.16
2023-11-07,7.91
2023-11-08,7.8
2023-11-09,7.91
2023-11-10,8.0
2023-11-11,7.84
2023-11-12,8.44
2023-11-13,6.82
2023-11-14,7.7
2023-11-15,6.68
2023-11-16,6.99
2023-11-17,6.41
2023-11-18,6.73
2023-11-19,6.14
2023-11-20,6.44
2023-11-21,6.77
2023-11-22,6.67
2023-11-23,5.59
2023-11-24,6.45
2023-11-25,6.61
2023-11-26,4.99
2023-11-27,5.65
2023-11-28,4.72
2023-11-29,5.0
2023-11-30,4.97
2023-12-01,4.59
2023-12-02,4.2
2023-12-03,4.08
2023-12-04,5.32
2023-12-05,4.4
2023-12-06,3.4
2023-12-07,3.85
2023-12-08,4.57
2023-12-09,4.15
2023-12-10,2.78
2023-12-11,2.97
2023-12-12,3.73
2023-12-13,3.24
2023-12-14,3.34
2023-12-15,3.82
2023-12-16,2.86
2023-12-17,3.53
2023-12-18,3.72
2023-12-19,3.25
2023-12-20,2.76
2023-12-21,3.27
2023-12-22,3.45
2023-12-23,3.32
2023-12-24,3.35
2023-12-25,2.21
2023-12-26,2.23
2023-12-27,1.24
2023-12-28,2.87
2023-12-29,2.21
2023-12-30,2.99
2023-12-31,1.18
2024-01-01,2.81
2024-01-02,2.21
2024-01-03,2.24
2024-01-04,1.59
2024-01-05,2.36
2024-01-06,2.11
2024-01-07,1.38
2024-01-08,2.36
2024-01-09,1.81
2024-01-10,1.4
2024-01-11,1.32
2024-01-12,2.7
2024-01-13,1.42
2024-01-14,1.72
2024-01-15,1.56
2024-01-16,2.73
2024-01-17,1.62
2024-01-18,0.94
2024-01-19,2.52
2024-01-20,3.01
2024-01-21,1.16
2024-01-22,3.22
2024-01-23,1.72
2024-01-24,1.68
2024-01-25,2.4
2024-01-26,2.3
2024-01-27,2.19
2024-01-28,3.13
2024-01-29,1.98
2024-01-30,2.59
2024-01-31,3.03
2024-02-01,1.82
2024-02-02,3.04
2024-02-03,3.26
2024-02-04,2.17
2024-02-05,2.87
2024-02-06,2.36
2024-02-07,2.21
2024-02-08,2.84
2024-02-09,3.23
2024-02-10,2.85
2024-02-11,2.92
2024-02-12,2.39
2024-02-13,2.54
2024-02-14,4.25
2024-02-15,3.7
2024-02-16,3.25
2024-02-17,3.25
2024-02-18,4.3
2024-02-19,4.04
2024-02-20,4.16
2024-02-21,4.55
2024-02-22,4.59
2024-02-23,3.94
2024-02-24,4.29
2024-02-25,4.72
2024-02-26,3.97
2024-02-27,4.41
2024-02-28,4.42
2024-02-29,4.66
2024-03-01,4.56
2024-03-02,5.28
2024-03-03,5.2
2024-03-04,5.83
2024-03-05,5.62
2024-03-06,5.79
2024-03-07,5.95
2024-03-08,5.91
2024-03-09,5.39
2024-03-10,6.05
2024-03-11,6.01
2024-03-12,5.9
2024-03-13,5.92
2024-03-14,7.0
2024-03-15,7.03
2024-03-16,6.6
2024-03-17,7.29
2024-03-18,7.69
2024-03-19,6.95
2024-03-20,7.15
2024-03-21,7.89
2024-03-22,8.11
2024-03-23,8.38
2024-03-24,8.25
2024-03-25,8.5
2024-03-26,8.92
2024-03-27,9.32
2024-03-28,8.32
2024-03-29,9.05
2024-03-30,8.61
2024-03-31,9.23
2024-04-01,10.18
2024-04-02,9.74
2024-04-03,9.96
2024-04-04,9.65
2024-04-05,10.46
2024-04-06,9.83
2024-04-07,11.38
2024-04-08,9.78
2024-04-09,11.27
2024-04-10,12.09
2024-04-11,10.56
2024-04-12,10.65
2024-04-13,12.53
2024-04-14,12.07
2024-04-15,11.93
