date,sst_celsius
2023-01-01,2.19
2023-01-02,2.14
2023-01-03,2.14
2023-01-04,2.51
2023-01-05,2.07
2023-01-06,1.36
2023-01-07,2.25
2023-01-08,1.93
2023-01-09,1.94
2023-01-10,2.09
2023-01-11,2.14
2023-01-12,2.59
2023-01-13,2.33
2023-01-14,2.06
2023-01-15,1.63
2023-01-16,1.49
2023-01-17,2.13
2023-01-18,2.67
2023-01-19,2.04
2023-01-20,1.98
2023-01-21,2.31
2023-01-22,1.34
2023-01-23,1.93
2023-01-24,2.35
2023-01-25,2.57
2023-01-26,2.04
2023-01-27,2.38
2023-01-28,2.35
2023-01-29,2.65
2023-01-30,1.74
2023-01-31,2.62
2023-02-01,1.63
2023-02-02,1.12
2023-02-03,2.17
2023-02-04,2.07
2023-02-05,3.02
2023-02-06,2.97
2023-02-07,2.09
2023-02-08,3.18
2023-02-09,2.32
2023-02-10,2.84
2023-02-11,2.81
2023-02-12,3.08
2023-02-13,3.51
2023-02-14,3.49
2023-02-15,3.43
2023-02-16,3.66
2023-02-17,3.65
2023-02-18,3.18
2023-02-19,3.23
2023-02-20,3.44
2023-02-21,4.01
2023-02-22,3.73
2023-02-23,5.12
2023-02-24,3.64
2023-02-25,3.6
2023-02-26,4.64
2023-02-27,5.07
2023-02-28,4.71
2023-03-01,4.99
2023-03-02,5.39
2023-03-03,4.74
2023-03-04,4.19
2023-03-05,4.75
2023-03-06,5.61
2023-03-07,4.53
2023-03-08,5.39
2023-03-09,5.62
2023-03-10,5.46
2023-03-11,6.1
2023-03-12,6.16
2023-03-13,7.16
2023-03-14,6.44
2023-03-15,5.95
2023-03-16,6.11
2023-03-17,6.11
2023-03-18,7.13
2023-03-19,6.51
2023-03-20,6.9
2023-03-21,7.44
2023-03-22,6.85
2023-03-23,7.2
2023-03-24,6.57
2023-03-25,7.1
2023-03-26,7.5
2023-03-27,8.13
2023-03-28,8.67
2023-03-29,8.21
2023-03-30,8.5
2023-03-31,8.6
2023-04-01,9.21
2023-04-02,9.26
2023-04-03,9.1
2023-04-04,8.61
2023-04-05,9.72
2023-04-06,9.61
2023-04-07,10.19
2023-04-08,9.71
2023-04-09,10.86
2023-04-10,9.85
2023-04-11,10.98
2023-04-12,10.4
2023-04-13,10.24
2023-04-14,10.09
2023-04-15,10.73
2023-04-16,11.67
2023-04-17,11.52
2023-04-18,11.62
2023-04-19,10.24
2023-04-20,11.94
